Book_No,Title,Sub_Title,Author,Translator,Class_3,Class_2,Class_1,Publisher,Year_1st_Pub,Year_This_Ed,Place,Edition_No,Pages,Keywords,ISBN,Language,Synopsis,Price,Notes,Title_XRef,Author_XRef,Medium,Size,Status,Check,Subject,
1305,Glossary of Buddhist Terms (A),In Four Languages,"Aik, Lim Teong (Comp)",,100,AIK,A0a1,Privately Published,1960,1960,Penang,,,,,English,English Chinese Pali Sanskrit,,,,,Book,,,,General Buddhism - R,
1307,Popular Dictionary of Buddhism (A),,"Humphreys, Christmas",,,HUM,A0a1,Arco Publications,1962,1962,London,,223,,,English,,,,,,Book,,,,General Buddhism - R,
L2800,Buddhist Directory (The),A Unique Reference to Europe's and the rest of the world's Buddhist Centres,"Lorie, Peter & Foakes, Julie",,,LOR,A0a1,New Leaf,1996,1996,London,1st,57,,0-7522-0595-1,English,,,,,,Book,,,,,
1323,Encyclopaedia of Buddhism Vol 1/1,A-Aca,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1961,1961,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1324,Encyclopaedia of Buddhism Vol 1/2,Acala-Akan,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1963,1963,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1325,Encyclopaedia of Buddhism Vol 1/3,Akankheyya Sutta-Anabhirati,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1964,1964,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1326,Encyclopaedia of Buddhism Vol 1/4,Anabhisamaya Sutta-Aoki Bunkyo,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1965,1965,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1327,Encyclopaedia of Buddhism Vol 2/1,Apa -Asita Devala,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1966,1966,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1328,Encyclopaedia of Buddhism Vol 2/2,Asita Devala - Atthaka Vagga,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1967,1967,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1329,Encyclopaedia of Buddhism Vol 2/3,Atthakula Sutta - Azuchi-Mondo,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1967,1967,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1330,Encyclopaedia of Buddhism Vol 2/4,Ba - Bharhut,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1968,1968,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1331,Encyclopaedia of Buddhism Vol 3/1,Bharini-deva - Bodaishinron-ko,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1971,1971,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1332,Encyclopaedia of Buddhism Vol 3/1,Bharini-deva - Bodaishinron-ko,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1971,1971,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
